temp,count
1,110
1,3778
1,926
2,12225
2,12900
2,54
3,1844875
3,49
3,3189
4,1315711
4,140513
4,606640
1,558
1,5513
1,1844
2,21797
2,48467
2,117
3,5531412
3,237
3,12333
4,1575913
4,70441
4,1269580
1,401
1,19603
1,3000
2,52185
2,318374
2,724
3,2658644
3,1566
3,67917
4,14096004
4,583097
4,3098982
