diameter,height
0.0037,0.324
0.0037,0.167
0.0037,0.659
0.0037,0.677
0.0037,0.154
0.0037,0.476
0.0037,0.361
0.0037,0.437
0.0037,0.356
0.0037,0.678
0.0037,0.55
0.0037,0.192
0.0037,0.132
0.0037,0.113
0.0037,0.151
0.0037,0.454
0.0037,0.421
0.0037,0.491
0.0037,0.101
0.0038,0.354
0.0038,0.152
0.0038,0.443
0.0038,0.382
0.0038,0.384
0.0038,0.323
0.0038,0.229
0.0038,0.478
0.0038,0.709
0.0038,0.479
0.0038,0.715
0.0039,0.186
0.0039,0.185
0.0039,0.593
0.0039,0.208
0.0039,0.206
0.0039,0.163
0.0039,0.176
0.0039,0.167
0.0039,0.428
0.0039,0.571
0.0039,0.526
0.0039,0.408
0.0039,0.381
0.0039,0.466
0.0039,0.461
0.004,0.181
0.004,0.622
0.004,0.585
0.004,0.216
0.004,0.471
0.004,0.4
0.004,0.547
0.004,0.684
0.004,0.853
0.0041,0.216
0.0041,0.176
0.0041,0.232
0.0041,0.207
0.0041,0.343
0.0041,0.548
0.0041,0.431
0.0041,0.822
0.0042,0.229
0.0042,0.186
0.0042,0.483
0.0042,0.441
0.0042,0.815
0.0043,0.178
0.0043,0.237
0.0043,0.645
0.0043,0.582
0.0043,0.602
0.0044,0.477
0.0044,0.696
0.0044,0.685
0.0044,0.775
0.0044,0.468
0.0044,0.854
0.0044,0.742
0.0044,0.365
0.0045,0.612
0.0045,0.191
0.0045,0.199
0.0045,0.361
0.0045,0.45
0.0045,0.868
0.0045,0.53
0.0046,0.197
0.0046,0.2
0.0046,0.166
0.0046,0.362
0.0046,0.452
0.0046,0.818
0.0046,0.794
0.0046,0.462
0.0046,0.481
0.0046,0.374
0.0047,0.202
0.0047,0.449
0.0047,0.788
0.0047,0.448
0.0048,0.216
0.0048,0.479
0.0048,0.476
0.0048,0.582
0.0048,0.486
0.0048,0.896
0.0048,0.814
0.0049,0.162
0.0049,0.178
0.0049,0.209
0.0049,0.413
0.0049,0.478
0.0049,0.453
0.0049,0.712
0.0049,0.884
0.005,0.431
0.005,0.773
0.005,0.739
0.0051,0.191
0.0051,0.488
0.0051,0.877
0.0051,0.855
0.0052,0.232
0.0052,0.452
0.0052,0.448
0.0052,0.932
0.0052,0.693
0.0052,0.729
0.0053,0.888
0.0053,0.459
0.0053,0.894
0.0054,0.432
0.0054,0.859
0.0054,0.854
0.0054,0.88
0.0055,0.493
0.0055,0.781
0.0055,0.43
0.0055,0.429
0.0055,0.438
0.0055,0.465
0.0055,0.893
0.0057,0.918
0.0057,0.802
0.0057,0.88
0.0057,0.447
0.0058,0.525
0.0058,0.491
0.0058,0.686
0.0059,0.435
0.006,0.458
0.006,0.47
0.006,0.941
0.006,0.893
0.0061,0.905
0.0062,0.475
0.0063,0.755
0.0064,0.189
0.0064,0.404
0.0064,0.455
0.0064,0.516
0.0064,0.87
0.0064,0.693
0.0064,1.029
0.0065,0.492
0.0066,0.897
0.0067,0.918
0.0068,0.989
0.0068,0.937
0.0069,0.552
0.007,0.983
0.007,1.018
0.0073,1.004
0.0073,0.941
0.0074,0.839
0.0081,1.01
0.0087,0.654
0.0087,0.39
0.0087,0.258
0.0088,0.481
0.009,0.494
0.009,0.528
0.0106,1.025
0.0108,1.004
0.0112,1.033
